State_Name,ind_district,X2,Y,X1,X3,X4
Karnataka,hassan,53948,147084,,2976.928,3120.57
Karnataka,hassan,55878,129213,27796,3663.805,2976.928
Karnataka,hassan,54588,153597,19264,2447.383,3663.805
Karnataka,hassan,54598,131867,23954,2692.923,2447.383
Karnataka,hassan,52286,132604,33622,2213.051,2692.923
Karnataka,hassan,45807,76209,6693,2200.349,2213.051
Karnataka,hassan,37991,63113,2880,,
Karnataka,hassan,51406,128437.89,3258,,
Karnataka,hassan,46309,105878,4042,1408.7,1074.7
Karnataka,hassan,48517,117396,12455,948.2,1408.7
Karnataka,hassan,46186,113954,8160,1214.5,948.2
Karnataka,hassan,47315,115969.07,14249,1200.9,1214.5
Karnataka,hassan,41520,112020.96,14739,1151.2,1200.9
Karnataka,hassan,35785,105364,13755,1292.4,1151.2
Karnataka,hassan,46451,119911,13364,,1292.4
Karnataka,hassan,48265,105184,4710,,
Karnataka,hassan,50260,153841,2529,,
Karnataka,hassan,45653,140563,3746,,
